     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -11.42056     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.34456     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.26756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.19156     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.11556     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.03856     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.96256     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.88656     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.80956     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.73356     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.65756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.58056     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.50456     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.42856     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.35156     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.27556     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -10.19856     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -10.12256     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -10.04656     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
    -9.96956     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
    -9.89356     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
    -9.81756     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
    -9.74056     0.00001    -0.00001     0.00000    -0.00000     0.00000    -0.00000
    -9.66456     0.00006    -0.00006     0.00000    -0.00000     0.00003    -0.00003
    -9.58856     0.00050    -0.00046     0.00000    -0.00000     0.00022    -0.00021
    -9.51156     0.00303    -0.00281     0.00000    -0.00000     0.00134    -0.00125
    -9.43556     0.01418    -0.01330     0.00000    -0.00000     0.00621    -0.00583
    -9.35956     0.05135    -0.04872     0.00000    -0.00000     0.02233    -0.02122
    -9.28256     0.14485    -0.13901     0.00000    -0.00000     0.06330    -0.06082
    -9.20656     0.32118    -0.31166     0.00000    -0.00000     0.14404    -0.13992
    -9.13056     0.56738    -0.55640     0.00000    -0.00000     0.27105    -0.26576
    -9.05356     0.81405    -0.80615     0.00000    -0.00000     0.43601    -0.43090
    -8.97756     0.97295    -0.97162     0.00000    -0.00000     0.61814    -0.61448
    -8.90156     0.99862    -1.00352     0.00000    -0.00000     0.78516    -0.78353
    -8.82456     0.91265    -0.92045     0.00000    -0.00000     0.90064    -0.90087
    -8.74856     0.77752    -0.78457     0.00000    -0.00000     0.94521    -0.94664
    -8.67256     0.64811    -0.65307     0.00000    -0.00000     0.92273    -0.92495
    -8.59556     0.53644    -0.53984     0.00000    -0.00000     0.83615    -0.83946
    -8.51956     0.42106    -0.42422     0.00000    -0.00000     0.68213    -0.68643
    -8.44256     0.29267    -0.29558     0.00000    -0.00000     0.48209    -0.48669
    -8.36656     0.17294    -0.17532     0.00000    -0.00000     0.29127    -0.29496
    -8.29056     0.08909    -0.09045     0.00000    -0.00000     0.15783    -0.16004
    -8.21356     0.04549    -0.04608     0.00000    -0.00000     0.08858    -0.08955
    -8.13756     0.02835    -0.02856     0.00000    -0.00000     0.06116    -0.06149
    -8.06156     0.02289    -0.02295     0.00000    -0.00000     0.05222    -0.05234
    -7.98456     0.02118    -0.02120     0.00000    -0.00000     0.04942    -0.04945
    -7.90856     0.02052    -0.02051     0.00000    -0.00000     0.04880    -0.04872
    -7.83256     0.02071    -0.02060     0.00000    -0.00000     0.05140    -0.05093
    -7.75556     0.02332    -0.02294     0.00000    -0.00000     0.06380    -0.06221
    -7.67956     0.03133    -0.03042     0.00000    -0.00000     0.09850    -0.09469
    -7.60356     0.04723    -0.04569     0.00000    -0.00000     0.16628    -0.15990
    -7.52656     0.06887    -0.06713     0.00000    -0.00000     0.25822    -0.25092
    -7.45056     0.08719    -0.08614     0.00000    -0.00000     0.33678    -0.33226
    -7.37456     0.09245    -0.09257     0.00000    -0.00000     0.36215    -0.36245
    -7.29756     0.08383    -0.08479     0.00000    -0.00000     0.33151    -0.33520
    -7.22156     0.06985    -0.07088     0.00000    -0.00000     0.27959    -0.28348
    -7.14556     0.05922    -0.05980     0.00000    -0.00000     0.24411    -0.24579
    -7.06856     0.05568    -0.05566     0.00000    -0.00000     0.24475    -0.24322
    -6.99256     0.05979    -0.05921     0.00000    -0.00000     0.28766    -0.28303
    -6.91556     0.06973    -0.06886     0.00000    -0.00000     0.36360    -0.35734
    -6.83956     0.07942    -0.07887     0.00000    -0.00000     0.43596    -0.43180
    -6.76356     0.08105    -0.08129     0.00000    -0.00000     0.45572    -0.45694
    -6.68656     0.07220    -0.07315     0.00000    -0.00000     0.40722    -0.41312
    -6.61056     0.05831    -0.05942     0.00000    -0.00000     0.32828    -0.33508
    -6.53456     0.04697    -0.04773     0.00000    -0.00000     0.27788    -0.28209
    -6.45756     0.04215    -0.04247     0.00000    -0.00000     0.29224    -0.29304
    -6.38156     0.04336    -0.04341     0.00000    -0.00000     0.36438    -0.36317
    -6.30556     0.04690    -0.04687     0.00000    -0.00000     0.44453    -0.44340
    -6.22856     0.04831    -0.04834     0.00000    -0.00000     0.47013    -0.47056
    -6.15256     0.04597    -0.04607     0.00000    -0.00000     0.41925    -0.42117
    -6.07656     0.04187    -0.04196     0.00000    -0.00000     0.32750    -0.32976
    -5.99956     0.03880    -0.03883     0.00000    -0.00000     0.24642    -0.24793
    -5.92356     0.03848    -0.03844     0.00000    -0.00000     0.20159    -0.20226
    -5.84756     0.04216    -0.04201     0.00000    -0.00000     0.19265    -0.19248
    -5.77056     0.05066    -0.05039     0.00000    -0.00000     0.21104    -0.21032
    -5.69456     0.06283    -0.06249     0.00000    -0.00000     0.24619    -0.24519
    -5.61856     0.07521    -0.07489     0.00000    -0.00000     0.28437    -0.28335
    -5.54156     0.08444    -0.08418     0.00000    -0.00000     0.31440    -0.31346
    -5.46556     0.09098    -0.09061     0.00000    -0.00000     0.33915    -0.33753
    -5.38856     0.10033    -0.09949     0.00000    -0.00000     0.38041    -0.37657
    -5.31256     0.12009    -0.11847     0.00000    -0.00000     0.46824    -0.46090
    -5.23656     0.15216    -0.14998     0.00000    -0.00000     0.60981    -0.59987
    -5.15956     0.18427    -0.18266     0.00000    -0.00000     0.75211    -0.74459
    -5.08356     0.19314    -0.19345     0.00000    -0.00000     0.79516    -0.79619
    -5.00756     0.16473    -0.16702     0.00000    -0.00000     0.67959    -0.68948
    -4.93056     0.11072    -0.11372     0.00000    -0.00000     0.45572    -0.46884
    -4.85456     0.05769    -0.06001     0.00000    -0.00000     0.23622    -0.24639
    -4.77856     0.02311    -0.02433     0.00000    -0.00000     0.09394    -0.09927
    -4.70156     0.00708    -0.00754     0.00003    -0.00000     0.02854    -0.03054
    -4.62556     0.00166    -0.00178     0.00027    -0.00000     0.00662    -0.00715
    -4.54956     0.00030    -0.00032     0.00161    -0.00000     0.00117    -0.00127
    -4.47256     0.00005    -0.00004     0.00725    -0.00000     0.00016    -0.00017
    -4.39656     0.00002    -0.00000     0.02469    -0.00000     0.00003    -0.00002
    -4.32056     0.00005    -0.00000     0.06376    -0.00000     0.00004    -0.00000
    -4.24356     0.00009    -0.00000     0.12535    -0.00000     0.00008    -0.00000
    -4.16756     0.00013    -0.00000     0.18905    -0.00000     0.00011    -0.00000
    -4.09156     0.00015    -0.00000     0.22188    -0.00002     0.00013    -0.00000
    -4.01456     0.00014    -0.00000     0.20870    -0.00014     0.00012    -0.00000
    -3.93856     0.00010    -0.00001     0.16629    -0.00086     0.00009    -0.00000
